id,name,proposed name,2.0,1.45,xml,POG,PAG,comment
0,L1_SingleMuCosmics,,0,0,x,MU,BASE,Cosmics:
1,L1_SingleMuOpen,,0,0,x,MU,BASE,Cosmics:
2,L1_SingleMu3,,0,0,x,MU,BASE,Cosmics:
3,L1_SingleMu5,,0,0,x,MU,BASE,Cosmics:
4,L1_SingleMu7,,0,0,x,MU,BASE,Cosmics:
5,L1_SingleMu10_LowQ,,0,0,x,MU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
6,L1_SingleMu11_LowQ,,0,0,x,MU,BASE,Muon HLT/POG
7,L1_SingleMu16,,0,0,x,MU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
8,L1_SingleMu18,,0,0,x,MU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
9,L1_SingleMu20,,0,0,x,MU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
10,L1_SingleMu22,,0,1,x,MU,BASE,slim:
11,L1_SingleMu25,,1,1,x,MU,BASE,slim:
12,L1_SingleMu30,,1,1,x,MU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
13,L1_SingleMu14er2p1,L1_SingleMu14er,0,0,x,MU,BASE,Cosmics:
14,L1_SingleMu16er2p1,L1_SingleMu16er,0,0,x,MU,BASE,Cosmics:
15,L1_SingleMu18er2p1,L1_SingleMu18er,0,0,x,MU,BASE,Cosmics:
16,L1_SingleMu20er2p1,L1_SingleMu20er,0,1,x,MU,BASE,slim: * missing in L1Menu_Collisions2017_dev.xml
17,L1_SingleMu22er2p1,L1_SingleMu22er,1,1,x,MU,BASE,slim:
20,L1_DoubleMu0,,0,0,x,MU,BASE,Cosmics/Circulating:
21,L1_DoubleMu_11_4,,0,0,x,MU,BASE,Cosmics:
22,L1_DoubleMu_12_5,,0,1,x,MU,BASE,slim:
23,L1_DoubleMu_12_8,,1,1,x,MU,BASE,
24,L1_DoubleMu_13_6,,0,1,x,MU,BASE,slim:
25,L1_DoubleMu_15_5,,1,1,x,MU,BASE,
26,L1_DoubleMu_15_7,,1,1,x,MU,BASE,Susy:
27,L1_TripleMu0,,0,0,x,MU,BASE,Circulating:
28,L1_TripleMu3,,0,0,x,MU,BASE,Susy:
29,L1_TripleMu_4_4_4,,1,1,x,MU,BASE,Susy:
30,L1_TripleMu_5_0_0,,0,1,x,MU,BASE,slim:
31,L1_TripleMu_5_3_3,,1,1,x,MU,BASE,Susy:
32,L1_TripleMu_5_5_3,,1,1,x,MU,BASE,slim:
33,L1_QuadMu0,,1,1,x,MU,BASE,Circulating:
40,L1_SingleEG5,,0,0,x,EG,BASE,Cosmics:
41,L1_SingleEG10,,0,0,x,EG,BASE,Cosmics:
42,L1_SingleEG15,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
43,L1_SingleEG18,,0,0,x,EG,BASE,Cosmics:
44,L1_SingleEG24,,0,0,x,EG,BASE,Cosmics:
45,L1_SingleEG26,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
46,L1_SingleEG28,,0,0,x,EG,BASE,AlCa: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
47,L1_SingleEG30,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
48,L1_SingleEG32,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
49,L1_SingleEG34,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
50,L1_SingleEG36,,0,1,x,EG,BASE,slim:
51,L1_SingleEG38,,0,1,x,EG,BASE,slim:
52,L1_SingleEG40,,1,1,x,EG,BASE,slim:
53,L1_SingleEG45,,1,1,x,EG,BASE,AlCa: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
54,L1_SingleEG34er2p1,L1_SingleEG34er,0,0,x,EG,BASE,slim:
55,L1_SingleEG36er2p1,L1_SingleEG36er,0,0,x,EG,BASE,slim:
56,L1_SingleEG38er2p1,L1_SingleEG38er,0,0,x,EG,BASE,slim:
57,L1_SingleIsoEG18,,0,0,x,EG,BASE,Circulating
58,L1_SingleIsoEG20,,0,0,x,EG,BASE,AlCa: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
59,L1_SingleIsoEG22,,0,0,x,EG,BASE,AlCa: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
60,L1_SingleIsoEG24,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
61,L1_SingleIsoEG26,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
62,L1_SingleIsoEG28,,0,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
63,L1_SingleIsoEG30,,0,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
64,L1_SingleIsoEG32,,0,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
65,L1_SingleIsoEG34,,0,1,x,EG,BASE,slim: additional
66,L1_SingleIsoEG36,,0,1,x,EG,BASE,slim: additional
67,L1_SingleIsoEG38,,1,1,x,EG,BASE,slim: additional
68,L1_SingleIsoEG18er2p1,L1_SingleIsoEG18er,0,0,x,EG,BASE,Circulating
69,L1_SingleIsoEG20er2p1,L1_SingleIsoEG20er,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
70,L1_SingleIsoEG22er2p1,L1_SingleIsoEG22er,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
71,L1_SingleIsoEG24er2p1,L1_SingleIsoEG24er,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
72,L1_SingleIsoEG26er2p1,L1_SingleIsoEG26er,0,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
73,L1_SingleIsoEG28er2p1,L1_SingleIsoEG28er,0,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
74,L1_SingleIsoEG30er2p1,L1_SingleIsoEG30er,0,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
75,L1_SingleIsoEG32er2p1,L1_SingleIsoEG32er,0,1,x,EG,BASE,slim:
76,L1_SingleIsoEG34er2p1,L1_SingleIsoEG34er,0,1,x,EG,BASE,slim:
77,L1_SingleIsoEG36er2p1,L1_SingleIsoEG36er,1,1,x,EG,BASE,slim:
80,L1_DoubleEG_15_10,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
81,L1_DoubleEG_18_17,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
82,L1_DoubleEG_20_18,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
83,L1_DoubleEG_22_10,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
84,L1_DoubleEG_22_12,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
85,L1_DoubleEG_22_15,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
86,L1_DoubleEG_23_10,,0,0,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
87,L1_DoubleEG_24_17,,1,1,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
88,L1_DoubleEG_25_12,,0,1,x,EG,BASE,slim:
